t,x,y,vx,vy,mass_total,P
  0.0000,  0.000000,  0.000000,   0.0000,   0.0000,  0.480000, 400000.00
  0.0010,  0.000010,  0.000012,   0.0199,   0.0247,  0.479024, 399181.87
  0.0020,  0.000040,  0.000049,   0.0398,   0.0493,  0.478049, 398367.72
  0.0030,  0.000090,  0.000111,   0.0597,   0.0740,  0.477076, 397557.52
  0.0040,  0.000159,  0.000197,   0.0796,   0.0986,  0.476103, 396751.24
  0.0050,  0.000249,  0.000308,   0.0994,   0.1232,  0.475133, 395948.85
  0.0060,  0.000358,  0.000444,   0.1193,   0.1477,  0.474163, 395150.33
  0.0070,  0.000487,  0.000604,   0.1391,   0.1723,  0.473195, 394355.64
  0.0080,  0.000636,  0.000788,   0.1589,   0.1968,  0.472228, 393564.75
  0.0090,  0.000805,  0.000997,   0.1787,   0.2213,  0.471262, 392777.64
  0.0100,  0.000994,  0.001231,   0.1985,   0.2457,  0.470298, 391994.29
  0.0110,  0.001202,  0.001489,   0.2183,   0.2702,  0.469335, 391214.65
  0.0120,  0.001430,  0.001771,   0.2380,   0.2946,  0.468373, 390438.71
  0.0130,  0.001678,  0.002078,   0.2578,   0.3190,  0.467413, 389666.44
  0.0140,  0.001946,  0.002409,   0.2775,   0.3434,  0.466454, 388897.81
  0.0150,  0.002233,  0.002765,   0.2973,   0.3678,  0.465496, 388132.80
  0.0160,  0.002540,  0.003145,   0.3170,   0.3921,  0.464539, 387371.37
  0.0170,  0.002867,  0.003549,   0.3367,   0.4164,  0.463584, 386613.51
  0.0180,  0.003214,  0.003978,   0.3564,   0.4407,  0.462630, 385859.19
  0.0190,  0.003580,  0.004430,   0.3761,   0.4650,  0.461677, 385108.38
  0.0200,  0.003966,  0.004908,   0.3957,   0.4893,  0.460726, 384361.05
  0.0210,  0.004371,  0.005409,   0.4154,   0.5135,  0.459775, 383617.19
  0.0220,  0.004797,  0.005935,   0.4350,   0.5377,  0.458826, 382876.77
  0.0230,  0.005241,  0.006484,   0.4547,   0.5620,  0.457879, 382139.76
  0.0240,  0.005706,  0.007058,   0.4743,   0.5861,  0.456932, 381406.14
  0.0250,  0.006190,  0.007657,   0.4939,   0.6103,  0.455987, 380675.88
  0.0260,  0.006694,  0.008279,   0.5135,   0.6344,  0.455043, 379948.97
  0.0270,  0.007217,  0.008926,   0.5331,   0.6586,  0.454100, 379225.37
  0.0280,  0.007760,  0.009596,   0.5527,   0.6827,  0.453158, 378505.07
  0.0290,  0.008322,  0.010291,   0.5723,   0.7068,  0.452218, 377788.04
  0.0300,  0.008904,  0.011010,   0.5918,   0.7309,  0.451279, 377074.26
